Theta,E_theta
0.000000,0.000000
0.013863,0.000000
0.027726,0.000000
0.041589,0.000000
0.055452,0.000000
0.069315,0.000000
0.083178,0.000000
0.097041,0.304553
0.110904,0.727762
0.124767,1.097576
0.138630,1.374442
0.152493,1.623621
0.166356,1.775898
0.180219,1.908398
0.194082,1.928174
0.207945,1.949928
0.221808,1.936084
0.235671,1.977614
0.249534,1.908398
0.263397,1.843137
0.277260,1.809517
0.291123,1.805562
0.304986,1.803584
0.318849,1.748211
0.332712,1.586047
0.346575,1.576159
0.360438,1.487166
0.374301,1.435748
0.388164,1.344778
0.402027,1.261718
0.415890,1.232054
0.429753,1.152949
0.443616,1.085710
0.457479,1.034292
0.471342,0.963098
0.485205,0.913658
0.499068,0.834553
0.512931,0.783135
0.526794,0.725784
0.540657,0.727762
0.554520,0.662501
0.568383,0.644702
0.582246,0.599217
0.596109,0.575486
0.609972,0.545822
0.623835,0.510224
0.637698,0.460784
0.651561,0.399478
0.665424,0.381680
0.679287,0.355971
0.693150,0.369814
0.707013,0.326306
0.720876,0.324329
0.734739,0.288732
0.748602,0.270933
0.762465,0.292687
0.776328,0.237314
0.790191,0.251157
0.804054,0.197761
0.817917,0.203694
0.831780,0.203694
0.845643,0.179963
0.859506,0.181941
0.873369,0.164142
0.887232,0.164142
0.901095,0.154254
0.914958,0.148321
0.928821,0.162164
0.942684,0.128545
0.956547,0.148321
0.970410,0.122612
0.984273,0.166120
0.998136,0.112724
1.011999,0.104814
1.025862,0.126567
1.039725,0.138433
1.053588,0.092948
1.067451,0.090970
1.081314,0.102836
1.095177,0.102836
1.109040,0.088993
1.122903,0.118657
1.136766,0.106791
1.150629,0.116679
1.164492,0.079105
1.178355,0.067239
1.192218,0.065261
1.206081,0.063284
1.219944,0.063284
1.233807,0.065261
1.247670,0.077127
1.261533,0.063284
1.275396,0.088993
1.289259,0.059328
1.303122,0.071194
1.316985,0.053396
1.330848,0.059328
1.344711,0.075149
1.358574,0.043508
1.372437,0.073172
1.386299,0.045485
1.400163,0.085037
1.414026,0.051418
1.427889,0.090970
1.441751,0.055373
1.455614,0.039552
1.469478,0.051418
1.483341,0.045485
1.497203,0.043508
1.511066,0.025709
1.524930,0.049440
1.538792,0.039552
1.552655,0.045485
1.566518,0.049440
1.580382,0.045485
1.594244,0.049440
1.608107,0.031642
1.621970,0.053396
1.635833,0.021754
1.649696,0.061306
1.663559,0.053396
