time,value,dim,value
15:11:53,0.000,Hz,0.000
15:11:54,0.000,Hz,0.000
15:11:55,0.000,Hz,0.000
15:11:56,0.000,Hz,0.000
15:11:57,0.000,Hz,0.000
15:11:58,0.000,Hz,0.000
15:11:59,0.000,Hz,0.000
15:12:00,+OL,Hz,0.00
15:12:01,41.12,Hz,41.12
15:12:02,39.57,Hz,39.57
15:12:03,39.43,Hz,39.43
15:12:04,38.85,Hz,38.85
15:12:05,38.48,Hz,38.48
15:12:06,38.72,Hz,38.72
15:12:07,38.56,Hz,38.56
15:12:08,38.27,Hz,38.27
15:12:09,38.24,Hz,38.24
15:12:10,31.01,Hz,31.01
15:12:11,4.810,Hz,4.810
15:12:12,0.000,Hz,0.000
15:12:13,0.000,Hz,0.000
15:12:14,0.000,Hz,0.000
