21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,3,6,1
16:02:36,2.616E-3,ADC,2.616E-3
16:02:37,2.348E-3,ADC,2.348E-3
16:02:38,2.414E-3,ADC,2.414E-3
16:02:39,2.637E-3,ADC,2.637E-3
16:02:40,2.351E-3,ADC,2.351E-3
16:02:41,2.469E-3,ADC,2.469E-3
16:02:42,2.269E-3,ADC,2.269E-3
16:02:43,2.547E-3,ADC,2.547E-3
16:02:44,2.140E-3,ADC,2.140E-3
16:02:45,2.433E-3,ADC,2.433E-3
16:02:46,2.237E-3,ADC,2.237E-3
16:02:47,2.161E-3,ADC,2.161E-3
16:02:48,2.379E-3,ADC,2.379E-3
16:02:49,2.136E-3,ADC,2.136E-3
16:02:50,2.282E-3,ADC,2.282E-3
16:02:51,2.195E-3,ADC,2.195E-3
16:02:52,2.273E-3,ADC,2.273E-3
16:02:53,2.249E-3,ADC,2.249E-3
16:02:54,2.054E-3,ADC,2.054E-3
16:02:55,2.347E-3,ADC,2.347E-3
16:02:56,2.195E-3,ADC,2.195E-3
16:02:57,2.433E-3,ADC,2.433E-3
16:02:58,2.119E-3,ADC,2.119E-3
16:02:59,2.438E-3,ADC,2.438E-3
16:03:00,2.254E-3,ADC,2.254E-3
16:03:01,2.196E-3,ADC,2.196E-3
16:03:02,2.212E-3,ADC,2.212E-3
16:03:03,2.228E-3,ADC,2.228E-3
16:03:04,2.180E-3,ADC,2.180E-3
16:03:05,2.143E-3,ADC,2.143E-3
16:03:06,2.145E-3,ADC,2.145E-3
16:03:07,2.040E-3,ADC,2.040E-3
16:03:08,2.117E-3,ADC,2.117E-3
16:03:09,2.113E-3,ADC,2.113E-3
16:03:10,2.091E-3,ADC,2.091E-3
16:03:11,2.094E-3,ADC,2.094E-3
16:03:12,2.010E-3,ADC,2.010E-3
16:03:13,2.337E-3,ADC,2.337E-3
16:03:14,2.019E-3,ADC,2.019E-3
16:03:15,2.366E-3,ADC,2.366E-3
16:03:16,2.115E-3,ADC,2.115E-3
16:03:17,1.952E-3,ADC,1.952E-3
16:03:18,2.293E-3,ADC,2.293E-3
16:03:19,1.983E-3,ADC,1.983E-3
16:03:20,2.105E-3,ADC,2.105E-3
16:03:21,2.024E-3,ADC,2.024E-3
16:03:22,2.109E-3,ADC,2.109E-3
16:03:23,2.143E-3,ADC,2.143E-3
16:03:24,2.078E-3,ADC,2.078E-3
16:03:25,2.317E-3,ADC,2.317E-3
16:03:26,2.038E-3,ADC,2.038E-3
16:03:27,2.317E-3,ADC,2.317E-3
16:03:28,2.003E-3,ADC,2.003E-3
16:03:29,2.306E-3,ADC,2.306E-3
16:03:30,2.096E-3,ADC,2.096E-3
16:03:31,2.164E-3,ADC,2.164E-3
16:03:32,2.066E-3,ADC,2.066E-3
16:03:33,1.960E-3,ADC,1.960E-3
16:03:34,2.091E-3,ADC,2.091E-3
16:03:35,1.930E-3,ADC,1.930E-3
16:03:36,2.049E-3,ADC,2.049E-3
16:03:37,1.918E-3,ADC,1.918E-3
16:03:38,2.014E-3,ADC,2.014E-3
16:03:39,2.057E-3,ADC,2.057E-3
16:03:40,1.978E-3,ADC,1.978E-3
16:03:41,2.160E-3,ADC,2.160E-3
16:03:42,1.857E-3,ADC,1.857E-3
16:03:43,2.256E-3,ADC,2.256E-3
16:03:44,1.870E-3,ADC,1.870E-3
16:03:45,1.923E-3,ADC,1.923E-3
16:03:46,2.027E-3,ADC,2.027E-3
16:03:47,1.862E-3,ADC,1.862E-3
16:03:48,2.068E-3,ADC,2.068E-3
16:03:49,1.943E-3,ADC,1.943E-3
16:03:50,2.041E-3,ADC,2.041E-3
16:03:51,2.115E-3,ADC,2.115E-3
16:03:52,2.031E-3,ADC,2.031E-3
16:03:53,2.208E-3,ADC,2.208E-3
16:03:54,2.073E-3,ADC,2.073E-3
16:03:55,2.275E-3,ADC,2.275E-3
16:03:56,1.940E-3,ADC,1.940E-3
16:03:57,2.268E-3,ADC,2.268E-3
16:03:58,1.920E-3,ADC,1.920E-3
16:03:59,2.269E-3,ADC,2.269E-3
