21,,
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,16,8,1
17:37:58,11.884E-3,ADC,11.884E-3
17:37:59,12.174E-3,ADC,12.174E-3
17:38:00,12.310E-3,ADC,12.310E-3
17:38:01,12.600E-3,ADC,12.600E-3
17:38:02,12.735E-3,ADC,12.735E-3
17:38:03,12.915E-3,ADC,12.915E-3
17:38:04,13.339E-3,ADC,13.339E-3
17:38:05,13.642E-3,ADC,13.642E-3
17:38:06,13.783E-3,ADC,13.783E-3
17:38:07,13.888E-3,ADC,13.888E-3
17:38:08,14.022E-3,ADC,14.022E-3
17:38:09,13.807E-3,ADC,13.807E-3
17:38:10,13.847E-3,ADC,13.847E-3
17:38:11,13.974E-3,ADC,13.974E-3
17:38:12,13.612E-3,ADC,13.612E-3
17:38:13,13.479E-3,ADC,13.479E-3
17:38:14,13.145E-3,ADC,13.145E-3
17:38:15,13.089E-3,ADC,13.089E-3
17:38:16,12.883E-3,ADC,12.883E-3
17:38:17,12.780E-3,ADC,12.780E-3
17:38:18,12.567E-3,ADC,12.567E-3
17:38:19,12.546E-3,ADC,12.546E-3
17:38:20,12.309E-3,ADC,12.309E-3
17:38:21,11.949E-3,ADC,11.949E-3
17:38:22,11.652E-3,ADC,11.652E-3
17:38:23,11.507E-3,ADC,11.507E-3
17:38:24,11.223E-3,ADC,11.223E-3
17:38:25,11.134E-3,ADC,11.134E-3
17:38:26,10.647E-3,ADC,10.647E-3
17:38:27,10.468E-3,ADC,10.468E-3
17:38:28,10.230E-3,ADC,10.230E-3
17:38:29,10.007E-3,ADC,10.007E-3
17:38:30,9.847E-3,ADC,9.847E-3
17:38:31,9.682E-3,ADC,9.682E-3
17:38:32,9.516E-3,ADC,9.516E-3
17:38:33,9.479E-3,ADC,9.479E-3
17:38:34,9.308E-3,ADC,9.308E-3
17:38:35,9.316E-3,ADC,9.316E-3
17:38:36,9.192E-3,ADC,9.192E-3
17:38:37,9.065E-3,ADC,9.065E-3
17:38:38,8.886E-3,ADC,8.886E-3
17:38:39,8.865E-3,ADC,8.865E-3
17:38:40,8.718E-3,ADC,8.718E-3
17:38:41,8.707E-3,ADC,8.707E-3
17:38:42,8.529E-3,ADC,8.529E-3
17:38:43,8.403E-3,ADC,8.403E-3
17:38:44,8.394E-3,ADC,8.394E-3
17:38:45,8.339E-3,ADC,8.339E-3
17:38:46,8.267E-3,ADC,8.267E-3
17:38:47,8.198E-3,ADC,8.198E-3
17:38:48,8.240E-3,ADC,8.240E-3
17:38:49,8.132E-3,ADC,8.132E-3
17:38:50,8.109E-3,ADC,8.109E-3
17:38:51,8.189E-3,ADC,8.189E-3
17:38:52,8.006E-3,ADC,8.006E-3
17:38:53,8.101E-3,ADC,8.101E-3
17:38:54,7.956E-3,ADC,7.956E-3
17:38:55,8.013E-3,ADC,8.013E-3
17:38:56,7.943E-3,ADC,7.943E-3
17:38:57,7.963E-3,ADC,7.963E-3
17:38:58,8.016E-3,ADC,8.016E-3
17:38:59,7.916E-3,ADC,7.916E-3
17:39:00,7.957E-3,ADC,7.957E-3
17:39:01,7.883E-3,ADC,7.883E-3
17:39:02,7.967E-3,ADC,7.967E-3
17:39:03,7.981E-3,ADC,7.981E-3
17:39:04,7.963E-3,ADC,7.963E-3
17:39:05,8.038E-3,ADC,8.038E-3
17:39:06,7.974E-3,ADC,7.974E-3
17:39:07,8.100E-3,ADC,8.100E-3
17:39:08,8.018E-3,ADC,8.018E-3
17:39:09,8.108E-3,ADC,8.108E-3
17:39:10,8.040E-3,ADC,8.040E-3
17:39:11,8.069E-3,ADC,8.069E-3
17:39:12,8.029E-3,ADC,8.029E-3
17:39:13,8.115E-3,ADC,8.115E-3
17:39:14,8.135E-3,ADC,8.135E-3
17:39:15,8.126E-3,ADC,8.126E-3
17:39:16,8.218E-3,ADC,8.218E-3
17:39:17,8.168E-3,ADC,8.168E-3
17:39:18,8.179E-3,ADC,8.179E-3
17:39:19,8.204E-3,ADC,8.204E-3
17:39:20,8.258E-3,ADC,8.258E-3
17:39:21,8.213E-3,ADC,8.213E-3
