Time,Current
2,0.00E+00
3,1.22E+00
4,2.29E+00
5,2.94E+00
6,3.24E+00
7,3.32E+00
8,3.33E+00
9,3.36E+00
10,3.27E+00
11,3.10E+00
12,3.17E+00
13,2.93E+00
14,2.91E+00
15,2.73E+00
16,2.70E+00
17,2.44E+00
18,2.30E+00
19,2.17E+00
20,2.15E+00
21,2.05E+00
22,1.94E+00
23,1.79E+00
24,1.71E+00
25,1.54E+00
26,1.54E+00
27,1.37E+00
28,1.37E+00
29,1.16E+00
30,1.27E+00
31,1.05E+00
32,1.10E+00
33,9.61E-01
34,9.07E-01
35,9.26E-01
36,8.24E-01
37,9.33E-01
38,7.82E-01
39,8.75E-01
40,7.61E-01
41,8.36E-01
42,8.06E-01
43,6.24E-01
44,7.75E-01
45,6.04E-01
46,5.76E-01
47,6.52E-01
48,5.40E-01
49,6.63E-01
50,4.77E-01
51,6.68E-01
52,5.07E-01
53,6.62E-01
54,6.00E-01
55,5.72E-01
56,6.21E-01
57,4.84E-01
58,6.40E-01
59,4.23E-01
60,5.74E-01
61,4.43E-01
62,5.14E-01
63,4.50E-01
64,4.41E-01
65,5.12E-01
66,4.11E-01
67,5.21E-01
68,4.17E-01
69,4.32E-01
70,4.55E-01
71,4.01E-01
72,4.71E-01
73,3.67E-01
74,5.42E-01
75,3.87E-01
76,5.41E-01
77,4.36E-01
78,5.02E-01
79,4.96E-01
80,4.32E-01
81,5.28E-01
82,3.88E-01
83,5.01E-01
84,4.26E-01
85,4.51E-01
86,4.83E-01
87,3.67E-01
88,5.30E-01
89,3.39E-01
90,4.79E-01
91,3.55E-01
92,4.36E-01
93,3.58E-01
94,3.53E-01
95,3.93E-01
96,2.77E-01
97,4.51E-01
98,2.77E-01
99,3.58E-01
100,3.18E-01
101,2.89E-01
102,3.72E-01
103,3.22E-01
104,4.34E-01
105,3.30E-01
106,4.69E-01
107,3.65E-01
108,4.66E-01
109,4.25E-01
110,4.13E-01
111,4.45E-01
112,3.45E-01
113,4.36E-01
114,4.01E-01
115,4.35E-01
116,4.26E-01
117,3.70E-01
118,4.44E-01
119,2.61E-01
120,4.36E-01
121,2.52E-01
122,3.81E-01
123,2.93E-01
124,3.48E-01
125,3.29E-01
126,2.47E-01
127,3.86E-01
128,2.58E-01
129,4.23E-01
130,2.74E-01
131,3.11E-01
132,3.36E-01
133,2.63E-01
134,3.88E-01
135,2.71E-01
136,4.29E-01
137,3.17E-01
138,4.27E-01
139,3.69E-01
140,3.75E-01
141,4.17E-01
142,3.12E-01
143,4.21E-01
144,2.77E-01
145,4.29E-01
146,3.68E-01
147,3.14E-01
148,4.00E-01
149,2.35E-01
