tempo,corrente,,
19:49:04,-1.76E-04,ADC,-1.76E-04
19:49:05,-1.81E-04,ADC,-1.81E-04
19:49:06,-2.04E-04,ADC,-2.04E-04
19:49:07,-1.25E-04,ADC,-1.25E-04
19:49:08,-2.31E-04,ADC,-2.31E-04
19:49:09,-1.38E-04,ADC,-1.38E-04
19:49:10,-2.00E-04,ADC,-2.00E-04
19:49:11,-2.19E-04,ADC,-2.19E-04
19:49:12,-1.56E-04,ADC,-1.56E-04
19:49:13,-1.12E-04,ADC,-1.12E-04
19:49:14,-8.40E-05,ADC,-8.40E-05
19:49:15,-2.32E-04,ADC,-2.32E-04
19:49:16,-5.60E-05,ADC,-5.60E-05
19:49:17,-1.74E-04,ADC,-1.74E-04
19:49:18,-4.20E-05,ADC,-4.20E-05
19:49:19,-1.27E-04,ADC,-1.27E-04
19:49:20,-1.00E-04,ADC,-1.00E-04
19:49:21,-2.30E-04,ADC,-2.30E-04
19:49:22,-2.22E-04,ADC,-2.22E-04
19:49:23,-5.40E-05,ADC,-5.40E-05
19:49:24,-1.68E-04,ADC,-1.68E-04
19:49:25,-5.30E-05,ADC,-5.30E-05
19:49:26,-2.55E-04,ADC,-2.55E-04
19:49:27,-1.22E-04,ADC,-1.22E-04
19:49:28,-2.04E-04,ADC,-2.04E-04
19:49:29,-2.00E-04,ADC,-2.00E-04
19:49:30,-6.10E-05,ADC,-6.10E-05
19:49:31,-2.50E-04,ADC,-2.50E-04
19:49:32,-1.08E-04,ADC,-1.08E-04
19:49:33,1.99E+00,ADC,1.99E+00
19:49:34,1.57E+00,ADC,1.57E+00
19:49:35,1.56E+00,ADC,1.56E+00
19:49:36,1.27E+00,ADC,1.27E+00
19:49:37,1.37E+00,ADC,1.37E+00
19:49:38,1.16E+00,ADC,1.16E+00
19:49:39,1.22E+00,ADC,1.22E+00
19:49:40,1.16E+00,ADC,1.16E+00
19:49:41,1.10E+00,ADC,1.10E+00
19:49:42,1.10E+00,ADC,1.10E+00
19:49:43,1.05E+00,ADC,1.05E+00
19:49:44,1.13E+00,ADC,1.13E+00
19:49:45,1.18E+00,ADC,1.18E+00
19:49:46,1.82E+00,ADC,1.82E+00
19:49:47,2.34E+00,ADC,2.34E+00
19:49:48,2.80E+00,ADC,2.80E+00
19:49:49,3.10E+00,ADC,3.10E+00
19:49:50,3.17E+00,ADC,3.17E+00
19:49:51,3.38E+00,ADC,3.38E+00
19:49:52,3.24E+00,ADC,3.24E+00
19:49:53,3.31E+00,ADC,3.31E+00
19:49:54,3.10E+00,ADC,3.10E+00
19:49:55,3.15E+00,ADC,3.15E+00
19:49:56,2.94E+00,ADC,2.94E+00
19:49:57,2.95E+00,ADC,2.95E+00
19:49:58,2.77E+00,ADC,2.77E+00
19:49:59,2.69E+00,ADC,2.69E+00
19:50:00,2.64E+00,ADC,2.64E+00
19:50:01,2.39E+00,ADC,2.39E+00
19:50:02,2.48E+00,ADC,2.48E+00
19:50:03,2.27E+00,ADC,2.27E+00
19:50:04,2.20E+00,ADC,2.20E+00
19:50:05,2.26E+00,ADC,2.26E+00
19:50:06,2.03E+00,ADC,2.03E+00
19:50:07,2.20E+00,ADC,2.20E+00
19:50:08,2.00E+00,ADC,2.00E+00
19:50:09,2.03E+00,ADC,2.03E+00
19:50:10,1.86E+00,ADC,1.86E+00
19:50:11,1.88E+00,ADC,1.88E+00
19:50:12,1.77E+00,ADC,1.77E+00
19:50:13,1.66E+00,ADC,1.66E+00
19:50:14,1.64E+00,ADC,1.64E+00
19:50:15,1.58E+00,ADC,1.58E+00
19:50:16,1.59E+00,ADC,1.59E+00
19:50:17,1.51E+00,ADC,1.51E+00
19:50:18,1.52E+00,ADC,1.52E+00
19:50:19,1.48E+00,ADC,1.48E+00
19:50:20,1.53E+00,ADC,1.53E+00
19:50:21,1.33E+00,ADC,1.33E+00
19:50:22,1.38E+00,ADC,1.38E+00
19:50:23,1.30E+00,ADC,1.30E+00
19:50:24,1.31E+00,ADC,1.31E+00
19:50:25,1.28E+00,ADC,1.28E+00
19:50:26,1.32E+00,ADC,1.32E+00
19:50:27,1.33E+00,ADC,1.33E+00
19:50:28,1.27E+00,ADC,1.27E+00
19:50:29,1.32E+00,ADC,1.32E+00
19:50:30,1.16E+00,ADC,1.16E+00
19:50:31,1.22E+00,ADC,1.22E+00
19:50:32,1.17E+00,ADC,1.17E+00
19:50:33,1.21E+00,ADC,1.21E+00
19:50:34,1.17E+00,ADC,1.17E+00
19:50:35,1.19E+00,ADC,1.19E+00
19:50:36,1.31E+00,ADC,1.31E+00
19:50:37,1.32E+00,ADC,1.32E+00
19:50:38,1.21E+00,ADC,1.21E+00
19:50:39,1.31E+00,ADC,1.31E+00
19:50:40,1.21E+00,ADC,1.21E+00
19:50:41,1.28E+00,ADC,1.28E+00
19:50:42,1.20E+00,ADC,1.20E+00
19:50:43,1.27E+00,ADC,1.27E+00
19:50:44,1.24E+00,ADC,1.24E+00
19:50:45,1.25E+00,ADC,1.25E+00
19:50:46,1.28E+00,ADC,1.28E+00
19:50:47,1.16E+00,ADC,1.16E+00
19:50:48,1.32E+00,ADC,1.32E+00
19:50:49,1.13E+00,ADC,1.13E+00
19:50:50,1.33E+00,ADC,1.33E+00
19:50:51,1.13E+00,ADC,1.13E+00
19:50:52,1.23E+00,ADC,1.23E+00
19:50:53,1.16E+00,ADC,1.16E+00
19:50:54,1.20E+00,ADC,1.20E+00
19:50:55,1.16E+00,ADC,1.16E+00
19:50:56,1.10E+00,ADC,1.10E+00
19:50:57,1.16E+00,ADC,1.16E+00
19:50:58,1.08E+00,ADC,1.08E+00
19:50:59,1.10E+00,ADC,1.10E+00
19:51:00,1.09E+00,ADC,1.09E+00
19:51:01,1.02E+00,ADC,1.02E+00
19:51:02,1.17E+00,ADC,1.17E+00
19:51:03,1.02E+00,ADC,1.02E+00
19:51:04,1.18E+00,ADC,1.18E+00
19:51:05,1.02E+00,ADC,1.02E+00
19:51:06,1.24E+00,ADC,1.24E+00
19:51:07,1.00E+00,ADC,1.00E+00
19:51:08,1.18E+00,ADC,1.18E+00
19:51:09,1.05E+00,ADC,1.05E+00
19:51:10,1.14E+00,ADC,1.14E+00
19:51:11,1.07E+00,ADC,1.07E+00
19:51:12,1.07E+00,ADC,1.07E+00
19:51:13,1.02E+00,ADC,1.02E+00
19:51:14,1.08E+00,ADC,1.08E+00
19:51:15,1.02E+00,ADC,1.02E+00
19:51:16,1.16E+00,ADC,1.16E+00
19:51:17,9.70E-04,ADC,9.70E-04
19:51:18,1.19E+00,ADC,1.19E+00
19:51:19,9.27E-04,ADC,9.27E-04
19:51:20,1.13E+00,ADC,1.13E+00
19:51:21,9.65E-04,ADC,9.65E-04
19:51:22,1.12E+00,ADC,1.12E+00
19:51:23,9.69E-04,ADC,9.69E-04
19:51:24,1.07E+00,ADC,1.07E+00
19:51:25,1.03E+00,ADC,1.03E+00
19:51:26,9.80E-04,ADC,9.80E-04
19:51:27,1.05E+00,ADC,1.05E+00
19:51:28,9.65E-04,ADC,9.65E-04
19:51:29,9.69E-04,ADC,9.69E-04
19:51:30,9.62E-04,ADC,9.62E-04
19:51:31,9.19E-04,ADC,9.19E-04
19:51:32,1.02E+00,ADC,1.02E+00
19:51:33,8.99E-04,ADC,8.99E-04
19:51:34,1.03E+00,ADC,1.03E+00
19:51:35,8.83E-04,ADC,8.83E-04
19:51:36,9.28E-04,ADC,9.28E-04
19:51:37,8.95E-04,ADC,8.95E-04
19:51:38,9.39E-04,ADC,9.39E-04
19:51:39,9.03E-04,ADC,9.03E-04
19:51:40,9.41E-04,ADC,9.41E-04
19:51:41,8.71E-04,ADC,8.71E-04
19:51:42,9.25E-04,ADC,9.25E-04
19:51:43,8.85E-04,ADC,8.85E-04
19:51:44,1.00E+00,ADC,1.00E+00
19:51:45,8.77E-04,ADC,8.77E-04
19:51:46,9.77E-04,ADC,9.77E-04
19:51:47,8.80E-04,ADC,8.80E-04
19:51:48,9.85E-04,ADC,9.85E-04
19:51:49,8.70E-04,ADC,8.70E-04
19:51:50,1.19E+00,ADC,1.19E+00
19:51:51,9.19E-04,ADC,9.19E-04
19:51:52,1.11E+00,ADC,1.11E+00
19:51:53,1.12E+00,ADC,1.12E+00
19:51:54,9.92E-04,ADC,9.92E-04
19:51:55,1.17E+00,ADC,1.17E+00
19:51:56,9.50E-04,ADC,9.50E-04
19:51:57,1.08E+00,ADC,1.08E+00
19:51:58,9.21E-04,ADC,9.21E-04
19:51:59,1.06E+00,ADC,1.06E+00
19:52:00,9.29E-04,ADC,9.29E-04
19:52:01,1.00E+00,ADC,1.00E+00
19:52:02,9.53E-04,ADC,9.53E-04
19:52:03,9.54E-04,ADC,9.54E-04
19:52:04,9.96E-04,ADC,9.96E-04
19:52:05,9.70E-04,ADC,9.70E-04
19:52:06,1.07E+00,ADC,1.07E+00
19:52:07,9.81E-04,ADC,9.81E-04
19:52:08,9.87E-04,ADC,9.87E-04
19:52:09,1.06E+00,ADC,1.06E+00
19:52:10,9.30E-04,ADC,9.30E-04
19:52:11,1.11E+00,ADC,1.11E+00
19:52:12,9.51E-04,ADC,9.51E-04
19:52:13,1.08E+00,ADC,1.08E+00
19:52:14,9.75E-04,ADC,9.75E-04
19:52:15,1.14E+00,ADC,1.14E+00
19:52:16,1.03E+00,ADC,1.03E+00
19:52:17,1.08E+00,ADC,1.08E+00
19:52:18,1.03E+00,ADC,1.03E+00
19:52:19,1.01E+00,ADC,1.01E+00
19:52:20,1.02E+00,ADC,1.02E+00
19:52:21,9.59E-04,ADC,9.59E-04
19:52:22,9.95E-04,ADC,9.95E-04
19:52:23,9.44E-04,ADC,9.44E-04
19:52:24,9.99E-04,ADC,9.99E-04
19:52:25,9.59E-04,ADC,9.59E-04
19:52:26,9.32E-04,ADC,9.32E-04
19:52:27,9.98E-04,ADC,9.98E-04
19:52:28,9.02E-04,ADC,9.02E-04
19:52:29,8.79E-04,ADC,8.79E-04
19:52:30,8.41E-04,ADC,8.41E-04
19:52:31,8.80E-04,ADC,8.80E-04
19:52:32,9.09E-04,ADC,9.09E-04
19:52:33,8.92E-04,ADC,8.92E-04
19:52:34,9.22E-04,ADC,9.22E-04
19:52:35,9.67E-04,ADC,9.67E-04
19:52:36,9.06E-04,ADC,9.06E-04
