,,tempo,corrente
21:59:18,-2.03E-04,1,-2.03E-04
21:59:19,-1.94E-04,2,-1.94E-04
21:59:20,-1.93E-04,3,-1.93E-04
21:59:21,-2.07E-04,4,-2.07E-04
21:59:22,-2.14E-04,5,-2.14E-04
21:59:23,-1.86E-04,6,-1.86E-04
21:59:24,-1.71E-04,7,-1.71E-04
21:59:25,-1.89E-04,8,-1.89E-04
21:59:26,-1.62E-04,9,-1.62E-04
21:59:27,-1.55E-04,10,-1.55E-04
21:59:28,-1.53E-04,11,-1.53E-04
21:59:29,-1.51E-04,12,-1.51E-04
21:59:30,-1.53E-04,13,-1.53E-04
21:59:31,-1.41E-04,14,-1.41E-04
21:59:32,-1.43E-04,15,-1.43E-04
21:59:33,-1.47E-04,16,-1.47E-04
21:59:34,-1.32E-04,17,-1.32E-04
21:59:35,-1.31E-04,18,-1.31E-04
21:59:36,-1.27E-04,19,-1.27E-04
21:59:37,-1.24E-04,20,-1.24E-04
21:59:38,-1.20E-04,21,-1.20E-04
21:59:39,-1.20E-04,22,-1.20E-04
21:59:40,-1.24E-04,23,-1.24E-04
21:59:41,-1.15E-04,24,-1.15E-04
21:59:42,-1.13E-04,25,-1.13E-04
21:59:43,-1.26E-04,26,-1.26E-04
21:59:44,2.06E+00,27,2.06E+00
21:59:45,1.81E+00,28,1.81E+00
21:59:46,1.77E+00,29,1.77E+00
21:59:47,1.75E+00,30,1.75E+00
21:59:48,1.76E+00,31,1.76E+00
21:59:49,1.73E+00,32,1.73E+00
21:59:50,1.73E+00,33,1.73E+00
21:59:51,1.71E+00,34,1.71E+00
21:59:52,1.71E+00,35,1.71E+00
21:59:53,1.71E+00,36,1.71E+00
21:59:54,1.75E+00,37,1.75E+00
21:59:55,1.73E+00,38,1.73E+00
21:59:56,1.69E+00,39,1.69E+00
21:59:57,2.85E+00,40,2.85E+00
21:59:58,3.51E+00,41,3.51E+00
21:59:59,2.66E+00,42,2.66E+00
22:00:00,2.35E+00,43,2.35E+00
22:00:01,2.17E+00,44,2.17E+00
22:00:02,2.26E+00,45,2.26E+00
22:00:03,2.21E+00,46,2.21E+00
22:00:04,2.41E+00,47,2.41E+00
22:00:05,2.70E+00,48,2.70E+00
22:00:06,2.62E+00,49,2.62E+00
22:00:07,2.85E+00,50,2.85E+00
22:00:08,2.79E+00,51,2.79E+00
22:00:09,3.01E+00,52,3.01E+00
22:00:10,2.82E+00,53,2.82E+00
22:00:11,2.90E+00,54,2.90E+00
22:00:12,2.88E+00,55,2.88E+00
22:00:13,2.53E+00,56,2.53E+00
22:00:14,2.53E+00,57,2.53E+00
22:00:15,2.48E+00,58,2.48E+00
22:00:16,2.43E+00,59,2.43E+00
22:00:17,2.36E+00,60,2.36E+00
22:00:18,2.32E+00,61,2.32E+00
22:00:19,2.28E+00,62,2.28E+00
22:00:20,2.14E+00,63,2.14E+00
22:00:21,2.16E+00,64,2.16E+00
22:00:22,1.99E+00,65,1.99E+00
22:00:23,2.07E+00,66,2.07E+00
22:00:24,1.88E+00,67,1.88E+00
22:00:25,1.96E+00,68,1.96E+00
22:00:26,1.89E+00,69,1.89E+00
22:00:27,1.85E+00,70,1.85E+00
22:00:28,1.90E+00,71,1.90E+00
22:00:29,1.77E+00,72,1.77E+00
22:00:30,1.88E+00,73,1.88E+00
22:00:31,1.79E+00,74,1.79E+00
22:00:32,1.80E+00,75,1.80E+00
22:00:33,1.82E+00,76,1.82E+00
22:00:34,1.74E+00,77,1.74E+00
22:00:35,1.86E+00,78,1.86E+00
22:00:36,1.74E+00,79,1.74E+00
22:00:37,1.89E+00,80,1.89E+00
22:00:38,1.77E+00,81,1.77E+00
22:00:39,1.86E+00,82,1.86E+00
22:00:40,1.81E+00,83,1.81E+00
22:00:41,1.82E+00,84,1.82E+00
22:00:42,1.84E+00,85,1.84E+00
22:00:43,1.76E+00,86,1.76E+00
22:00:44,1.84E+00,87,1.84E+00
22:00:45,1.68E+00,88,1.68E+00
22:00:46,1.83E+00,89,1.83E+00
22:00:47,1.68E+00,90,1.68E+00
22:00:48,1.76E+00,91,1.76E+00
22:00:49,1.84E+00,92,1.84E+00
22:00:50,1.72E+00,93,1.72E+00
22:00:51,1.83E+00,94,1.83E+00
22:00:52,1.65E+00,95,1.65E+00
