21,3
20430,7680,2
00,00,00,01
True,00,01,00,00
20
False,1,1
True,-5,25,6,1
21:46:20,1.450E-3,ADC,1.450E-3
21:46:21,1.557E-3,ADC,1.557E-3
21:46:22,1.450E-3,ADC,1.450E-3
21:46:23,1.544E-3,ADC,1.544E-3
21:46:24,1.505E-3,ADC,1.505E-3
21:46:25,1.470E-3,ADC,1.470E-3
21:46:26,1.561E-3,ADC,1.561E-3
21:46:27,1.427E-3,ADC,1.427E-3
21:46:28,1.575E-3,ADC,1.575E-3
21:46:29,1.492E-3,ADC,1.492E-3
21:46:30,1.524E-3,ADC,1.524E-3
21:46:31,1.542E-3,ADC,1.542E-3
21:46:32,1.448E-3,ADC,1.448E-3
21:46:33,1.579E-3,ADC,1.579E-3
21:46:34,1.427E-3,ADC,1.427E-3
21:46:35,1.533E-3,ADC,1.533E-3
21:46:36,1.422E-3,ADC,1.422E-3
21:46:37,1.490E-3,ADC,1.490E-3
21:46:38,1.543E-3,ADC,1.543E-3
21:46:39,-0.518E-3,ADC,-0.518E-3
21:46:40,1.232E-3,ADC,1.232E-3
21:46:41,1.514E-3,ADC,1.514E-3
21:46:42,1.686E-3,ADC,1.686E-3
21:46:43,2.221E-3,ADC,2.221E-3
21:46:44,3.084E-3,ADC,3.084E-3
21:46:45,3.573E-3,ADC,3.573E-3
21:46:46,3.951E-3,ADC,3.951E-3
21:46:47,4.880E-3,ADC,4.880E-3
21:46:48,4.804E-3,ADC,4.804E-3
21:46:49,5.361E-3,ADC,5.361E-3
21:46:50,5.661E-3,ADC,5.661E-3
21:46:51,6.172E-3,ADC,6.172E-3
21:46:52,6.438E-3,ADC,6.438E-3
21:46:53,6.681E-3,ADC,6.681E-3
21:46:54,7.093E-3,ADC,7.093E-3
21:46:55,7.112E-3,ADC,7.112E-3
21:46:56,7.324E-3,ADC,7.324E-3
21:46:57,7.585E-3,ADC,7.585E-3
21:46:58,7.670E-3,ADC,7.670E-3
21:46:59,7.817E-3,ADC,7.817E-3
21:47:00,7.779E-3,ADC,7.779E-3
21:47:01,7.999E-3,ADC,7.999E-3
21:47:02,8.005E-3,ADC,8.005E-3
21:47:03,8.174E-3,ADC,8.174E-3
21:47:04,8.160E-3,ADC,8.160E-3
21:47:05,8.200E-3,ADC,8.200E-3
21:47:06,8.219E-3,ADC,8.219E-3
21:47:07,8.210E-3,ADC,8.210E-3
21:47:08,8.292E-3,ADC,8.292E-3
21:47:09,8.291E-3,ADC,8.291E-3
21:47:10,8.421E-3,ADC,8.421E-3
21:47:11,8.372E-3,ADC,8.372E-3
21:47:12,8.398E-3,ADC,8.398E-3
21:47:13,8.363E-3,ADC,8.363E-3
21:47:14,8.373E-3,ADC,8.373E-3
21:47:15,8.395E-3,ADC,8.395E-3
21:47:16,8.385E-3,ADC,8.385E-3
21:47:17,8.469E-3,ADC,8.469E-3
21:47:18,8.372E-3,ADC,8.372E-3
21:47:19,8.595E-3,ADC,8.595E-3
21:47:20,8.429E-3,ADC,8.429E-3
21:47:21,8.543E-3,ADC,8.543E-3
21:47:22,8.525E-3,ADC,8.525E-3
21:47:23,8.610E-3,ADC,8.610E-3
21:47:24,-2.199E-3,ADC,-2.199E-3
21:47:25,10.450E-3,ADC,10.450E-3
21:47:26,9.741E-3,ADC,9.741E-3
21:47:27,9.321E-3,ADC,9.321E-3
21:47:28,9.332E-3,ADC,9.332E-3
21:47:29,9.258E-3,ADC,9.258E-3
21:47:30,9.169E-3,ADC,9.169E-3
21:47:31,9.226E-3,ADC,9.226E-3
21:47:32,9.131E-3,ADC,9.131E-3
21:47:33,9.305E-3,ADC,9.305E-3
21:47:34,9.167E-3,ADC,9.167E-3
21:47:35,9.244E-3,ADC,9.244E-3
21:47:36,9.184E-3,ADC,9.184E-3
21:47:37,9.249E-3,ADC,9.249E-3
21:47:38,9.252E-3,ADC,9.252E-3
21:47:39,9.319E-3,ADC,9.319E-3
21:47:40,9.337E-3,ADC,9.337E-3
21:47:41,9.312E-3,ADC,9.312E-3
21:47:42,9.419E-3,ADC,9.419E-3
21:47:43,9.232E-3,ADC,9.232E-3
