,,tempo,corrente
22:16:14,2.79E-03,0,2.79E-03
22:16:15,2.78E-03,1,2.78E-03
22:16:16,2.77E-03,2,2.77E-03
22:16:17,2.79E-03,3,2.79E-03
22:16:18,2.79E-03,4,2.79E-03
22:16:19,2.73E-03,5,2.73E-03
22:16:20,2.72E-03,6,2.72E-03
22:16:21,2.71E-03,7,2.71E-03
22:16:22,2.37E-03,8,2.37E-03
22:16:23,2.23E-03,9,2.23E-03
22:16:24,2.25E-03,10,2.25E-03
22:16:25,2.18E-03,11,2.18E-03
22:16:26,2.15E-03,12,2.15E-03
22:16:27,2.28E-03,13,2.28E-03
22:16:28,2.37E-03,14,2.37E-03
22:16:29,2.55E-03,15,2.55E-03
22:16:30,2.46E-03,16,2.46E-03
22:16:31,2.64E-03,17,2.64E-03
22:16:32,2.53E-03,18,2.53E-03
22:16:33,2.65E-03,19,2.65E-03
22:16:34,2.58E-03,20,2.58E-03
22:16:35,2.42E-03,21,2.42E-03
22:16:36,2.41E-03,22,2.41E-03
22:16:37,2.36E-03,23,2.36E-03
22:16:38,2.48E-03,24,2.48E-03
22:16:39,2.19E-03,25,2.19E-03
22:16:40,2.31E-03,26,2.31E-03
22:16:41,2.22E-03,27,2.22E-03
22:16:42,2.11E-03,28,2.11E-03
22:16:43,2.16E-03,29,2.16E-03
22:16:44,2.01E-03,30,2.01E-03
22:16:45,2.11E-03,31,2.11E-03
22:16:46,1.94E-03,32,1.94E-03
22:16:47,2.03E-03,33,2.03E-03
22:16:48,1.94E-03,34,1.94E-03
22:16:49,1.92E-03,35,1.92E-03
22:16:50,1.99E-03,36,1.99E-03
22:16:51,1.87E-03,37,1.87E-03
22:16:52,1.93E-03,38,1.93E-03
22:16:53,1.83E-03,39,1.83E-03
22:16:54,1.96E-03,40,1.96E-03
22:16:55,1.92E-03,41,1.92E-03
22:16:56,1.83E-03,42,1.83E-03
22:16:57,1.91E-03,43,1.91E-03
22:16:58,1.79E-03,44,1.79E-03
22:16:59,1.93E-03,45,1.93E-03
22:17:00,1.81E-03,46,1.81E-03
22:17:01,1.91E-03,47,1.91E-03
22:17:02,1.87E-03,48,1.87E-03
