ploting: data/plan/09_06_26_01.csv
tm,var,n,resto
211.69,31182.7,1.44,162706.82
197.97,26650.65,1.47,131468.33
229.98,37814.39,1.4,107218.68
200.98,27610.77,1.46,48677.63
237.6,40772.08,1.38,73340.8
ploting: data/plan/10_06_26_02.csv
264.0,43559.92,1.6,52710.86
240.12,34673.55,1.66,172439.94
246.29,41536.11,1.46,132599.49
245.21,36472.34,1.65,137740.54
ploting: data/plan/10_06_26_03.csv
264.0,43559.92,1.6,66883.53
244.05,41324.2,1.44,58940.36
236.6,33809.69,1.66,46786.07
246.64,40791.36,1.49,49829.57
255.89,42555.72,1.54,48641.45
264.0,43559.92,1.6,80648.43
ploting: data/plan/10_06_26_04.csv
237.6,40772.08,1.38,110767.99
228.67,37314.55,1.4,273003.13
255.56,42516.86,1.54,150896.92
ploting: data/plan/11_06_26_06.csv
264.0,43559.92,1.6,240938.81
237.6,40772.08,1.38,83384.41
260.26,43080.75,1.57,184165.57
ploting: data/plan/11_06_26_08.csv
255.23,42478.67,1.53,91559.44
258.37,42847.96,1.56,68256.34
248.25,41729.37,1.48,76509.3
250.55,40560.03,1.55,66182.95
224.99,29633.99,1.71,79665.14

